year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
2006,46,Liz Larner,1960,sacramento,california,los angeles,california,,
2006,80,Miles Davis,1926,alton,illinois,santa monica,california,,
2006,76,Sturtevant,1930,lakewood,ohio,paris,france,,
2006,44,Diana Thater,1962,san francisco,california,los angeles,california,,
2006,42,T.Kelly Mason,1964,hollywood,california,los angeles,california,,
2006,67,Ed Paschke,1939,chicago,illinois,chicago,illinois,,
2006,36,Zoe Strauss,1970,philadelphia,pennsylvania,philadelphia,pennsylvania,,
2006,41,Christopher Williams,1965,los angeles,california,los angeles,california,,
2006,34,Matthew Monahan,1972,eureka,california,los angeles,california,,
2006,39,Nicholas Currie,1967,paisley,scotland,berlin,germany,,
2006,43,Monica Majoli,1963,los angeles,california,los angeles,california,,
2006,40,Natalie Jeremijenko,1966,mackay,australia,new york,new york,,
2006,45,Daniel Johnston,1961,sacramento,california,waller,texas,,
2006,43,Nari Ward,1963,saint andrew,jamaica,new york,new york,,
2006,36,Kori Newkirk,1970,bronx,new york,los angeles,california,,
2006,33,Spencer Sweeney,1973,philadelphia,pennsylvania,new york,new york,,
2006,32,Matthew Day Jackson,1974,panorama city,california,brooklyn,new york,,
2006,52,Robert Gober,1954,wallingford,connecticut,new york,new york,,
2006,47,Peter Doig,1959,edinburgh,scotland,san francisco,california,,
2006,30,Yuri Masnyj,1976,washington DC,washington DC,new york,new york,,
2006,32,Chris Vasell,1974,grand rapids,michigan,los angeles,california,,
2006,29,Lucas deGiulio,1977,dearborn,michigan,san francisco,california,,
2006,31,Jesus 'Bubu' Negrón,1975,barceloneta,puerto rico,san juan,puerto rico,barceloneta,puerto rico
2006,33,Urs Fischer,1973,zurich,switzerland,zurich,switzerland,los angeles,california
2006,37,Kelley Walker,1969,columbus,georgia,new york,new york,,
2014,61,Terry Adkins,1953,Washington,DC,Brooklyn,NY,,
2006,37,Mark & Tiravanija	Rirkrit	DiSuvero,1969,los angeles,california,paris,france,,
2006,25,Jennie Smith,1981,san francisco,california,san francisco,california,,
2006,34,Aaron Young,1972,san francisco,california,new york,new york,,
2014,44,Carissa Rodriguez,1970,New York,NY,New York,NY,,
2014,37,Ei Arakawa ,1977,Fukushima,Japan,New York,NY,,
2004,44,jack pierson,1960,plymouth,massachusetts,new york,new york,wonder valley,california
1991,48,ellen phelan,1943,detroit,michigan,new york,new york,westport,new york
1979,38,martin puryear,1941,washington dc,washington dc,chicago,illinois,washington dc,washington dc
2014,58,Ken Lum,1956,Vancouver,Canada,Philadelphia,PA,Vancouver,Canada
2002,56,AA bronson,1946,vancouver,canada,new york,new york,toronto,canada
1973,31,Gary Stephan,1942,brooklyn,new york,New York,New York,stone ridge,new york
2010,33,Emily Roysdon,1977,Easton,Maryland,New York,New York,Stockholm,Sweden
2000,37,Rina Banerjee,1963,Calcutta,india,Brooklyn,new york,State College,Pa.
1997,49,cecilia vicuna,1948,santiago,chile,new york,new york,santiago,chile
2006,28,Carolina Caycedo,1978,london ,england,new york,new york,san juan,puerto rico
1981,61,wayne thiebaud,1920,mesa,arizona,sacramento,california,san francisco,california
1989,46,john jost,1943,chicago,illinois,new york,new york,san francisco,california
2000,39,Marcos Ramírez Erre,1961,Tijuana,Mexico,Tijuana,Mexico,San Diego,ca
1985,55,jasper johns,1930,augusta,georgia,new york,new york,saint martin,french west indies
2004,34,emily jacir,1970,houston,texas,new york,new york,ramallah,palestine
1981,81,jack tworkov,1900, biala,poland,new york,new york,provincetown,massachusetts
1977,50,allan kaprow,1927,atlantic city,new jersey,new york,new york,pasadena,california
1983,34,t.i. solien,1949,fargo,north dakota,minneapolis,minnisota,paris,france
2012,59,Dennis Cooper,1953,pasadena,ca,los angeles,ca,paris,france
2014,89,Etel Adnan,1925,Beirut,Lebanon,Sausalito,CA,Paris,France
1985,37,robert yarber,1948,dallas, texas,austin, texas,oakland,california
1977,36,michael heizer,1941,berkeley,california,new york,new york,nordern nevada,nevada
1989,32,mark innerst,1957,york,pennsylvania,new york,new york,newfoundland,pennsylvania
1983,37,ellen brooks,1946,los angeles,california,san francisco,california,new york,new york
1989,53,larry gottheim,1936,new york,new york,binghamton,new york,new york,new york
1989,32,tony oursler,1957,new york,new york,jamaica plain,massachusets,new york,new york
1991,66,robert rauschenberg,1925,port arthur,texas,captiva,florida,new york,new york
1993,53,Jimmie Durham,1940,washington,arkansas,cuernavaca,mexico,new york,new york
1997,29,Doug Aitken,1968,redondo beach,californi,los angeles,california,new york,new york
1997,58,antonio martorell,1939,anturce,puerto Rico,cayey,Puerto Rico,new york,new york
2000,39,Franco Mondini-Ruiz,1961,San Antonio,texas,San Antonio,texas,New York,New York
2000,32,Doug Aitken,1968,Redondo Beach,Calif.,Los Angeles and,california,New York,New York
2004,40,lee mingwei,1964,taiwan,,berkeley,california,new york,new york
2004,58,marina abramovic,1946,belgrade,,amsterdam,netherlands,new york,new york
2008,34,Natalia Almada,1974,mexico,mexico,mexico city,mexico,new york,new york
2008,61,Sherrie Levine,1947,hazleton,pennsylvania,santa fe,new mexico,new york,new york
2008,57,Michael Smith,1951,chicago,illinois,austin,texas,new york,new york
2010,40,Ania Soliman,1970,Warsaw,Poland,Basel,Switzerland,New York,New York
2010,49,Verne Dawson,1961,Meridianville,Alabama,Saluda,North Carolina,New York,New York
2012,35,Lucy Raven,1977,tucson,arizona,oakland,california,new york,new york
2012,50,Michael Clark,1962,aberdeen,scotland,london,england,new york,ny
2014,57,Julie Ault,1957,Boston,MA,Joshua Tree,CA,New York,NY
1997,64,ilya kabakov,1933,dnepropetrovsk,soviet union,new york,new york,moscow,russia
2014,41,Pedro Vélez,1973,Bayamón,Puerto Rico,Chicago,IL,Milwaukee,WI
1991,39,philip smith,1952,miami,florida,new york,new york,miami,florida
1997,39,felix gonzalez-torres,1958,guaimaro,cuba,new york,new york,miami,florida
2008,37,William Cordova,1971,lima,peru,houston,texas,miami,florida
1989,30,ray smith,1959,brownsville,texas,new york,new york,mexico city,mexico
2000,52,Dennis Adams,1948,Des Moines,iowa,New York and,Cambridge,Mass.,
1981,41,joan snyder,1940,highland park,new jersey,new york,new york,martin creek,pennsylvania
1985,57,donald judd,1928,excelsior springs,missouri,new york,new york,marfa ,texas
1997,45,francesco clemente,1952,naples,italy,new york,new york,madras,india
2008,54,Stephen Prina,1954,galesburg,illinois,cambridge,ma,los angeles,california
2010,31,Jesse Aron Green,1979,Boston,Massachusetts,Boston,Massachusetts,Los Angeles,California
2004,55,craigie horsfield,1949,cambridge,massachussets,new york,new york,london,england
2004,39,andrea zittel,1965,escondido,california,brooklyn,new york,joshua tree,california
1985,27,kenny scharf,1958,los angeles,california,new york,new york,"ilheus, bahia",brazil
2008,31,Leslie Hewitt,1977,new york,new york,new york,new york,houston,texas
1993,28,kip fulbeck,1965,fontana,california,santa barbara,california,honolulu,hawaii
1997,36,amanda miller,1961,chapel hill,north carolina,new york,new york,freiburg,germany
2002,32,jose alvarez,1970,venezuela,venezuela,new york,new york,fort lauderdale,florida
2000,54,James Drake,1946,Lubbock,texas,New York,new york,El Paso,texas
1983,59,richard artschwager,1924,washington dc,washington dc,new york,new york,charlottesville,new york
2000,39,Carl and Karen Pope,1961,Indianapolis,indiana,Indianapolis,indiana,Chapel Hill,N.C.
1973,48,Robert Rauschenberg,1925,port arthur,texas,New York,New York,captiva island,florida
2000,57,Krzysztof Wodiczko,1943,Warsaw,poland,New York,New York,Cambridge,Mass.
1981,54,edward kienholz,1927,fairfield,washington,hope, idaho,berlin,germany
2008,39,Mungo Thomson,1969,woodland,california,los angeles,california,berlin,germany
2008,32,Eduardo Sarabia,1976,los angeles,california,guadalajara,mexico,berlin,germany
2008,34,Amie Siegel,1974,chicago,illinois,new york,new york,berlin,germany
2012,54,Jutta Koether,1958,cologne,germany,new york, ny,berlin,germany
1983,32,gary hill,1951,santa monica,california,new york,new york,barrytown,new york
1991,40,gary hill,1951,santa monica,california,new york,new york,barrytown,new york
1981,48,james rosenquist,1933,grand forks,north dekota,new york,new york,aripeka,florida
2000,44,Joseph Grigely,1956,Springfield,Mass.,Jersey City and,new jersey,Ann Arbor,Mich.
2010,42,Piotr Uklanski,1968,Warsaw,Poland,New York,New York,and Warsaw,Poland
2014,43,Véréna Paravel,1971,Neuchâtel,Switzerland,Boston,MA,and Paris,France
2014,48,Lucien Castaing-Taylor,1966,Liverpool UK,UK,Boston,MA,and Paris,France
2014,80,Sheila Hicks,1934,Hastings,NE,New York,NY,and Paris,France
2014,37,Paul P.,1977,Hamilton Ontario,Canada,New York,NY,and Paris,France
2014,67,Dona Nelson,1947,Grand Island,NE,Lansdale,PA,and New York,NY
2014,36,Victoria Fu,1978,Santa Monica,CA,San Diego,CA,and Los Angeles,CA
2014,66,Doug Ischar,1948,Honolulu,Hawaii,Chicago,IL,and Los Angeles,CA
2014,38,taisha paggett,1976,Fresno,CA,Chicago,IL,and Los Angeles,CA
2014,64,Gary Indiana,1950,Derry,New Hampshire,New York,NY,and Los Angeles,CA
2010,37,Kerry Tribe,1973,Boston,Massachusetts,Los Angeles,California,and Berlin,germany
2014,44,Jennifer stein,1970,Seattle,WA,New York,NY,and Berlin,Germany
2014,35,Travis Jeppesen,1979,Ft. Lauderdale,FL,London,England,and Berlin,Germany
2014,36,Ken Okiishi,1978,Ames,iowa,New York,NY,and Berlin,Germany
2006,35,Martha Colburn,1971,gettysburg,pennsylvania,new york,new york,amsterdam,netherlands
2000,59,Richard Tuttle,1941,Rahway,N.J.,New York,New York,Abiquiu,N.M.
1973,71,Kenzo Okada,1902,yokohama,japan,New York,New York,,
1973,30,Terry Allen,1943,wichita,kansas,Fresno,California,,
1973,53,Gene Davis,1920,washington dc,washington dc,washington dc,Washington D.C.,,
1973,28,Joe Haske,1945,washington DC,washington DC,New York,New York,,
1973,30,Tony Robbin,1943,washington Dc,washington DC,New York,New York,,
1973,37,Robert Murray,1936,vancouver,british columbia,New York,New York,,
1973,29,Nate Shiner,1944,vallejo,california,Sacramento,California (7),,
1973,32,Michael D. Hall,1941,upland,california,Bloomfield Hills,Michigan,,
1973,28,Neil Jenney,1945,torrington,connecticut,New York,New York,,
1973,36,Larry Poons,1937,tokyo,japan,New York,New York,,
1973,30,Gary Tenenbaum,1943,st. louis,missouri,New York,New York,,
1973,61,Tony Smith,1912,south orange,new jersey,East Orange,New Jersey,,
1973,51,Ray Parker,1922,south dakota,south dakota,New York,New York,,
1973,30,Chris Wilmarth,1943,sonoma,california,New York,New York,,
1973,51,Jules Olitski,1922,shchors,ukraine,New York,New York,,
1973,47,Robert Hartman,1926,sharon,pennsylvania,Berkeley,California,,
1973,35,Joan Moment,1938,sellersville,pennsylvania,Sacramento,California,,
1973,44,Jo Baer,1929,seattle,washington,New York,New York,,
1973,40,Rafael Ferrer,1933,san juan,puerto rico,Philadelphia,Pennsylvania,,
1973,34,Charles Fahlen,1939,san francisco,california,Philadelphia,Pensylvania,,
1973,34,Richard Serra,1939,san francisco,california,New York,New York,,
1973,41,Robert Bechtle,1932,San Francisco,ca,New York,New York,,
1973,35,Robert Duran,1938,salinas,california,New York,New York,,
1973,57,Richard Pousette-Dart,1916,saint paul,minnesota,Suffern,New York,,
1973,37,Gregory Gillespie,1936,roselle park,new jersey,Haydenville,Massachusetts,,
1973,46,John Chamberlain,1927,rochester,indiana,New York,New York,,
1973,73,Adja Yunkers,1900,riga livonia,russia,New York,New York,,
1973,56,Louisa Matthiasdottir,1917,reykajavik,iceland,New York,New York,,
1973,38,Carl Andre,1935,quincy,ma,New York,New York,,
1973,36,Harvey Quaytman,1937,queens,new york,New York,New York,,
1973,41,Dorothea Rockburne,1932,montreal,canada,New York,New York,,
1973,29,George Trakas,1944,quebec,canada,New York,New York,,
1973,33,Nancy Stevenson Graves,1940,pittsfiled,massachusetts,New York,New York,,
1973,35,Jim Nutt,1938,pittsfield,massachusetts,Sacramento,California,,
1973,49,Philip Pearlstein,1924,pittsburgh,pennsylvania,New York,New York,,
1973,39,Ray Saunders,1934,pittsburgh,pennsylvania,Oakland,California,,
1973,34,Louise Fishman,1939,Philadelphia,PA,New York,New York,,
1973,37,Sidney Goodman,1936,philadelphia,pennsylvania,Elkins Park,Pennsylvania,,
1973,73,Louise Nevelson,1900,perislav poltava,russia,New York,New York,,
1973,46,Kenneth Snelson,1927,pendleton,oregon,New York,New York,,
1973,36,Loretta Dunkelman,1937,paterson,new jersey,New York,New York,,
1973,35,Robert Smithson,1938,passaic,new jersey,New York,New York,,
1973,62,Louise Bourgeois,1911,paris,france,New York,New York,,
1973,47,George Ortman,1926,oakland,california,Bloomfield Hills,Michigan,,
1973,74,Louis Siegriest,1899,oakland,california,San Francisco,California,,
1973,43,Roy DeForest,1930,north platte,nebrasca,Port Casta,California,,
1973,34,Jake Berthot,1939,niagara falls,new york,New York,New York,,
1973,32,Jackie Winsor,1941,newfoundland,canada,New York,New York,,
1973,50,Ellsworth Kelly,1923,newburgh,new york,New York,New York,,
1973,28,Barbara Kruger,1945,newark,new jersey,New York,New York,,
1973,35,Pat Steir,1938,newark,new jersey,New York,New York,,
1973,61,Buffie Johnson,1912,new york city,new york,New York,New York,,
1973,67,Ludwig Sander,1906,New York City,New York,New York,New York,,
1973,70,Adolph Gottlieb,1903,new york,new york,New York,New York,,
1973,45,Al Held,1928,new york,new york,New York,New York,,
1973,35,Alan Siegel,1938,new york,new york,New York,New York,,
1973,46,Alfred Leslie,1927,new york,new york,New York,New York,,
1973,43,Alice Adams,1930,new york,new york,New York,New York,,
1973,31,Andy Tavarelli,1942,new york,new york,Boston,Massachusetts,,
1973,51,Ed Ruda,1922,new york,new york,New York,New York,,
1973,32,Fred Eversley,1941,new york,new york,Venice,California,,
1973,61,George Sugarman,1912,new york,new york,New York,New York,,
1973,33,Hannah Wilke,1940,New York,New York,New York,New York,,
1973,45,Helen Frankenthaler,1928,new york,new york,New York,New York,,
1973,37,Joan Jonas,1936,new york,new york,New York,New York,,
1973,26,Joanna Pousette-Dart,1947,New York,New York,New York,New York,,
1973,30,Joel Perlman,1943,new york,new york,New York,New York,,
1973,34,Joyce Cole,1939,New York,New York,New York,New York,,
1973,28,Ken Greenleaf,1945,New York,New York,New York,New York,,
1973,31,Mary Grigoriadis,1942,New York,New York,New York,New York,,
1973,29,Mary Miss,1944,new york,new york,New York,New York,,
1973,28,Michael Steiner,1945,New York,New York,New York,New York,,
1973,47,Mon Levinson,1926,New York,New York,New York,New York,,
1973,33,Nancy Grossman,1940,new york,new york,New York,New York,,
1973,44,Nicholas Krushenick,1929,new york,new york,Stamford,Connecticut,,
1973,27,Nina Yankowitz,1946,New York,New York,New York,New York,,
1973,36,Peter Campus,1937,new york,new york,New York,New York,,
1973,29,Randy Hardy,1944,New York,New York,New York,New York,,
1973,37,Ree Morton,1936,new york,new york,New York,New York,,
1973,35,Richard Landry,1938,New York,New York,New York,New York,,
1973,37,Richard Nonas,1936,New York,New York,New York,New York,,
1973,36,Robert Grosvenor,1937,New York,New York,New York,New York,,
1973,28,Robert J. Lobe,1945,New York,New York,New York,New York,,
1973,38,Robert Moskowitz,1935,new york,new york,New York,New York,,
1973,50,Roy Lichtenstein,1923,new york,new york,New York,New York,,
1973,55,Stephen Greene,1918,new york,new york,Valley Cottage,New York,,
1973,39,Susan Smith,1934,New York,New York,New York,New York,,
1973,32,Tony Berlant,1941,new york,new york,Santa Monica,California,,
1973,39,Will Horwitt,1934,new york,new york,New York,New York,,
1973,51,Richard McDermott Miller,1922,new philadelphia,ohio,New York,New York,,
1973,47,Edward Clark,1926,new orleans,louisiana,New York,New York,,
1973,28,Joel Janowitz,1945,new jersey,new jersey,Somerville,Massachusetts,,
1973,42,John Baldessari,1931,national city,california,Santa Monica,California,,
1973,29,Gilah Hirsch,1944,montreal,canada,Los Angeles,California,,
1973,28,Paula Barr,1945,mobile,alabama,New York,New York,,
1973,36,James Reineking,1937,minot,north dakota,New York,New York,,
1973,36,Lester Johnson,1937,minneapolis,minnesota,Detroit,Michigan,,
1973,44,Neil Welliver,1929,millville,pennsylvania,New York,New York,,
1973,44,Clement Meadmore,1929,melbourne,australia,New York,New York,,
1973,32,John Seery,1941,maspeth,new york,New York,New York,,
1973,32,Keith Sonnier,1941,mamou,louisiana,New York,New York,,
1973,37,Frank Stella,1936,malden,massachusetts,new york,new york,,
1973,46,John Mason,1927,Madrid,spain,Los Angeles,California,,
1973,32,David Novros,1941,los angeles,california,New York,New York,,
1973,51,H. C. Westermann,1922,los angeles,california,Brookfield Center,Connecticut,,
1973,31,Joel Bass,1942,los Angeles,california,Los Angeles,California,,
1973,32,Forrest Myers,1941,long beach,california,New York,New York,,
1973,29,Richard Mock,1944,long beach,california,New York,New York,,
1973,40,Mary Frank,1933,london,england,New York,New York,,
1973,44,Cy Twombly,1929,lexington,virginia,New York,New York,,
1973,69,Edgar Tolson,1904,lee city,kentucky,campton,kentucky,,
1973,30,John Duff,1943,layfayette,indiana,New York,New York,,
1973,32,Lynda Benglis,1941,lake charles,louisiana,new york,new york,,
1973,61,Alexander Liberman,1912,kiev,ukraine,New York,New York,,
1973,42,Robert Morris,1931,kansas city,missouri,New York,New York,,
1973,33,William Geis,1940,kansas,kansas,Woodacre,California,,
1973,40,Robert Gordy,1933,jefferson island,louisiana,New Orleans,louisiana,,
1973,30,William Wegman,1943,holyoke,massachusetts,Santa Monica,California,,
1973,59,Bernard Rosenthal,1914,highland park,illinois,New York,New York,,
1973,33,Joan Snyder,1940,highland park,new jersey,New York,New York,,
1973,29,Alan Shields,1944,herington,kansas,New York,New York,,
1973,32,Roger Brown,1941,hamilton,alabama,Chicago,Illinois,,
1973,70,Alfred Jensen,1903,guatemala city,guatamala,Glenridge,New Jersey,,
1973,29,Nancy Van Deren,1944,greenwich ,connecticut,New York,New York,,
1973,25,Natalie Bieser,1948,grand junction,colorado,Venice,California,,
1973,59,Charles Schucker,1914,gap,pennsylvania,Brooklyn,New York,,
1973,45,James Boynton,1928,fort worth,texas,Houston,Texas,,
1973,27,Christina Ramberg,1946,fort campbell,kentucky,Chicago,Illinoise,,
1973,45,Donald Judd,1928,excelsior springs,missouri,New York,New York,,
1973,33,Luis Jiminez,1940,el paso,texas,Roswell,new mexico,,
1973,29,Kay Kurt,1944,dubuque,iowa,Duluth,Minnisota,,
1973,31,Ernest Frazier,1942,duboise crossroads,south carolina,New York,New York,,
1973,44,Lyman Kipp,1929,dobbs ferry,new york,North Salem,New York,,
1973,38,Alvin Loving,1935,detroit,michigan,New York,New York,,
1973,44,Jackie Ferrara ,1929,detroit,michigan,New York,New York,,
1973,37,Larry Zox,1936,des moines,iowa,New York,New York,,
1973,28,Peter Reginato,1945,dallas,texas,New York,New York,,
1973,31,Dan Christensen,1942,cozad,nebraska,New York,New York,,
1973,34,Peter Bradley,1939,connellsville,pennsylvania,New York,New York,,
1973,42,Fletcher Benton,1931,columbus,ohio,San Francisco,California,,
1973,53,Jimmy Ernst,1920,cologne,germany,New Canaan,Connecticut,,
1973,38,Jim Dine,1935,cincinnati,ohio,New York,New York,,
1973,42,Tom Wesselmann,1931,cincinnati,ohio,New York,New York,,
1973,39,Robert Rohm,1934,chincinnati,ohio,Wakefield,R.I.,,
1973,31,Cynthia Carlson,1942,chicago,illinois,Boulder,Colorado,,
1973,46,David McManaway,1927,chicago,illinois,Dallas,Texas,,
1973,34,Ed Paschke,1939,chicago,illinois,Chicago,Illinoise,,
1973,33,Elizabeth Murray,1940,chicago,illinois,New York,New York,,
1973,39,Irving Petlin,1934,chicago,illinois,New York,New York,,
1973,48,Joan Mitchell,1925,chicago,illinois,Vetheuil,France,,
1973,31,William Schwedler,1942,chicago,illinois,New York,New York,,
1973,30,David Diao,1943,Chengdu Sichuan,China,New York,New York,,
1973,32,Katherine Porter,1941,cedar rapids,iowa,Santa Fe,New Mexico,,
1973,48,Jack Sonenberg,1925,canada,canada,New York,New York,,
1973,55,Ronald Bladen,1918,canada,canada,New York,New York,,
1973,37,Jaime Davidovitch,1936,buenos aires,argentina,Shaker Heights,Ohio,,
1973,46,Alex Katz,1927,brooklyn,new york,New York,New York,,
1973,30,Howard Buchwald,1943,brooklyn,new york,New York,New York,,
1973,26,Ira Joel Haberb,1947,brooklyn,new york,New York,New York,,
1973,40,Joseph Raffael,1933,brooklyn,new york,San Geronimo,California,,
1973,65,Lee Krasner,1908,brooklyn,new york,New York,New York,,
1973,41,Lila Katzen,1932,brooklyn,new york,New York,New York,,
1973,29,Peter Gutkin,1944,brooklyn,new york,San Francisco,California,,
1973,34,William Bollinger,1939,brooklyn,new york,Poughkeepsie,New York,,
1973,35,Brice Marden,1938,bronxville,new york,New York,New York,,
1973,27,Frances Barth,1946,bronx,new york,,,,
1973,30,Frances Kuehn,1943,bronx,new york,Princeton,New Jersey,,
1973,49,Michael Goldberg,1924,bronx,new york,New York,New York,,
1973,26,Ronnie Landfield,1947,bronx,new york,New York,New York,,
1973,26,Harriet Korman,1947,bridgeport,connecticut,New York,New York,,
1973,56,Milton Resnick,1917,bratslav,russia,Rifton,New York,,
1973,27,Ann McCoy,1946,boulder,calorado,Venice,California,,
1973,28,Christopher Sproat,1945,boston,massachusetts,Jamaica Plain,Massachusetts,,
1973,74,Raphael Soyer,1899,borisoglebsk tambov,russia,New York,New York,,
1973,39,Neil Williams,1934,bluff,utah,New York,New York,,
1973,73,Jack Tworkov,1900,biala podlaska,poland,New York,New York,,
1973,36,John Clem Clarke,1937,bend,oregon,New York,New York,,
1973,36,William T. Wiley,1937,bedford,indiana,Woodacre,California,,
1973,37,Frank Bowling,1936,bartica,guyana,New York,New York,,
1973,52,Ann Truitt,1921,baltimore,maryland,washington dc,washington D.C.,,
1973,33,Lynton Wells,1940,baltimore,maryland,New York,New York,,
1973,30,Richard Friedberg,1943,baltimore,maryland,New York,New York,,
1973,30,Robert Wade,1943,austin,texas,Dallas,Texas,,
1973,43,Jasper Johns,1930,augusta,georgia,new york,new york,,
1973,37,Gary Hudson,1936,auburn,new york,Del Mar,California,,
1973,49,Kenneth Noland,1924,asheville,north carolina,New York,New York,,
1973,48,Duane Hanson,1925,alexandria,minnesota,Pembroke Pines,Florida,,
1973,58,Robert Motherwell,1915,aberdeen,washington,New York,New York,,
1973,31,Alex Siburney,1942,,,New York,New York,,
1973,35,Arden Scott,1938,,,New York,New York,,
1973,31,Arlene Slavin,1942,,,New York,New York,,
1973,28,Arthur Cohen,1945,,,New York,New York,,
1973,41,Bob Stanley,1932,,,New York,New York,,
1973,32,Brenda Miller,1941,,,New York,New York,,
1973,32,Carl Glikob,1941,,,New York,New York,,
1973,27,Catherine Murphy,1946,,,New York,New York,,
1973,38,Dennis McCarthy,1935,,,New York,New York,,
1973,32,Ed Shostak,1941,,,New York,New York,,
1973,27,Guy Dill,1946,,,Venice,California,,
1973,35,Jane Kaufman,1938,,,New York,New York,,
1973,40,Jaqueline Gourevitch,1933,,,Middletown,Conn,,
1973,31,Jay Wholley,1942,,,New York,New York,,
1973,31,Jeffrey Way,1942,,,New York,New York,,
1973,36,Jim Starrett,1937,,,New York,New York,,
1973,29,Lester Van Winkle,1944,,,Richmond,Virginia,,
1973,26,Malcolm Bailey,1947,,,New York,New York,,
1973,38,Philip Wofford,1935,,,New York,New York,,
1973,36,Robert Povlich,1937,,,New York,New York,,
1973,38,Robert Zakanitch,1935,,,New York,New York,,
1973,28,S. A. Davis,1945,,,San Francisco,California,,
1973,34,Salle Werner,1939,,,Houston,Texas,,
1973,33,Sherron Francis,1940,,,New York,New York,,
1973,31,Stuart Diamond,1942,,,New York,New York,,
1973,27,Susan Tunick,1946,,,New York,New York,,
1973,45,Sylvia Stone,1928,,,New York,New York,,
1973,35,Thomas Bang,1938,,denmark,Rochester,New York,,
1973,37,William Allan,1936,,,Mill Valley,California,,
1973,27,William Omwake,1946,,,Philadelphia,Pennsylvania,,
1973,46,William Pettet,1927,,,New York,New York,,
1975,31,george miller,1944,wooster,ohio,culver city,california,,
1975,36,paul rotterdam,1939,wiener neustadt,austria,new york,new york,,
1975,26,mark christian wethli,1949,westfield,new york,new york,new york,,
1975,25,john ford,1950,washington dc,washington dc,sacramento,california,,
1975,35,leonard l. hunter III,1940,washington dc,washington dc,lexington,kentucky,,
1975,34,domingo barreres,1941,valencia,spain,jamaica plains,massachusetts,,
1975,30,carl palazzolo,1945,torrington,connecticut,holliston,massachusetts,,
1975,34,hiroshi murata,1941,tokyo,japan,new york,new york,,
1975,32,ursula schneider,1943,switzerland,switzerland,san francisco,california,,
1975,29,frank faulkner,1946,sumber,south carolina,new york,new york,,
1975,27,don hazlitt,1948,stockton,california,new york,new york,,
